event_no,layer_num,0
2738,3.0,107
5554,3.0,107
2371,5.0,107
3334,4.0,107
3355,5.0,107
5247,4.0,107
5592,5.0,107
5274,3.0,107
862,4.0,107
50,4.0,107
1135,4.0,107
6001,4.0,107
2978,4.0,107
1884,3.0,107
2316,5.0,107
1651,2.0,107
5390,5.0,107
349,4.0,107
5443,3.0,107
5184,5.0,107
3754,5.0,107
4006,4.0,107
4800,5.0,107
6331,5.0,107
1163,3.0,106
5339,3.0,106
1142,4.0,106
3899,4.0,106
724,3.0,106
3449,5.0,106
2822,5.0,106
611,5.0,106
1119,5.0,106
335,5.0,106
6093,5.0,106
1168,2.0,106
5433,5.0,106
4760,4.0,106
1175,5.0,106
2408,5.0,106
2894,4.0,106
1591,3.0,106
1653,4.0,106
40,4.0,106
4106,4.0,106
2575,2.0,106
1214,4.0,106
835,5.0,106
1984,4.0,106
1982,4.0,106
2928,5.0,106
48,5.0,106
419,2.0,106
3853,4.0,106
4330,4.0,106
2298,5.0,106
5284,5.0,106
3851,5.0,106
6225,3.0,106
1651,4.0,106
2965,4.0,106
916,4.0,106
32,5.0,106
142,5.0,106
4729,4.0,106
906,5.0,106
980,4.0,106
2155,4.0,106
5295,5.0,106
5554,5.0,106
3914,4.0,106
2218,5.0,106
5123,5.0,106
4247,4.0,106
2380,3.0,106
547,5.0,106
4372,4.0,106
3356,5.0,106
3977,4.0,106
5312,3.0,106
4806,5.0,106
3919,4.0,106
260,2.0,106
3567,5.0,106
1960,5.0,106
1289,4.0,106
6345,3.0,106
4071,3.0,106
3572,5.0,106
3615,4.0,106
5618,5.0,106
5996,4.0,106
1353,5.0,106
809,5.0,106
5884,5.0,106
38,3.0,106
1940,5.0,106
2632,4.0,106
1329,5.0,106
2646,3.0,106
1488,5.0,106
1872,3.0,106
2496,3.0,106
2845,4.0,106
2496,5.0,106
4726,3.0,105
5435,4.0,105
453,5.0,105
5307,4.0,105
5247,3.0,105
4468,2.0,105
2893,5.0,105
1654,5.0,105
1539,5.0,105
2524,3.0,105
2395,4.0,105
4172,4.0,105
1224,5.0,105
2680,5.0,105
311,5.0,105
2318,4.0,105
4690,5.0,105
3402,3.0,105
4382,4.0,105
1113,3.0,105
1613,4.0,105
5530,5.0,105
2888,5.0,105
2123,4.0,105
1588,3.0,105
1662,4.0,105
702,2.0,105
5368,4.0,105
324,4.0,105
1440,3.0,105
2547,5.0,105
4631,5.0,105
2890,4.0,105
1888,5.0,105
2349,5.0,105
2954,5.0,105
2548,5.0,105
2358,3.0,105
11,5.0,105
